dataset,candidate,status,acc,nmi,ari,f1,target_acc,target_nmi,target_ari,delta_acc,delta_nmi,delta_ari,runtime_sec,error
texas,sect_coco_e2e_unified_aptc_texas,ok,0.4644808743169399,0.18070735206474736,0.1719483029965469,0.3599674868596825,0.7508,0.4619,0.5324,-0.2863191256830601,-0.2811926479352526,-0.3604516970034531,16.833,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.2696530522617479,0.030874857846211187,0.019062269902509688,0.27270204593605973,0.4202,0.2199,0.1557,-0.1505469477382521,-0.18902514215378882,-0.1366377300974903,14.564,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.3989071038251366,0.1667159167773933,0.10263061286881833,0.34140339675487247,0.7508,0.4619,0.5324,-0.3518928961748634,-0.2951840832226067,-0.4297693871311816,2.333,
acm,sect_coco_e2e_unified_aptc_acm,ok,0.43636363636363634,0.02607362392388537,0.026537358118740122,0.4370258708577904,0.9362,0.7588,0.8189,-0.4998363636363637,-0.7327263760761147,-0.7923626418812598,16.063,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.6832634951934927,0.32013010965728866,0.3575533925298518,0.6732431653384959,0.9369,0.7971,0.8483,-0.25363650480650723,-0.47696989034271137,-0.49074660747014826,40.506,
pubmed,sect_coco_e2e_unified_aptc_pubmed,ok,0.4499163158695542,0.08067159932009167,0.06404214348044518,0.4555454446378548,0.7617,0.3771,0.4266,-0.3117836841304458,-0.29642840067990833,-0.3625578565195548,18.365,
wiki,sect_coco_e2e_unified_aptc_wiki,ok,0.21995841995841997,0.16344532753379054,0.058094916444105485,0.1801232497240589,0.644,0.592,0.449,-0.42404158004158005,-0.42855467246620943,-0.39090508355589454,16.939,
flickr,sect_coco_e2e_unified_aptc_flickr,ok,0.1788778877887789,0.028485126727972584,0.015030664515380782,0.17459741404723164,0.8159,0.6636,0.6425,-0.6370221122112211,-0.6351148732720274,-0.6274693354846191,46.359,
blogcatalog,sect_coco_e2e_unified_aptc_blogcatalog,ok,0.5760200153964589,0.35939668055995067,0.3489626151165368,0.5510408660347004,0.9172,0.786,0.8163,-0.34117998460354115,-0.42660331944004937,-0.4673373848834632,29.525,
squirrel,sect_coco_e2e_unified_aptc_squirrel,ok,0.23226302634108825,0.011537472808357084,0.00787459368549896,0.23260622550961627,0.3443,0.1224,0.0932,-0.11203697365891174,-0.11086252719164291,-0.08532540631450104,48.999,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.3333333333333333,0.10887269761380544,0.05274102874446818,0.27850217768025987,0.7508,0.4619,0.5324,-0.4174666666666667,-0.3530273023861945,-0.4796589712555318,17.404,
chameleon,sect_coco_e2e_unified_aptc_chameleon,ok,0.25691699604743085,0.01375727679381624,0.010034289417220068,0.25469600842481244,0.4202,0.2199,0.1557,-0.16328300395256917,-0.20614272320618376,-0.14566571058277994,16.604,
texas,sect_coco_e2e_unified_aptc_texas,ok,0.5737704918032787,0.18929881544594113,0.25717535244211165,0.3812532299741602,0.7508,0.4619,0.5324,-0.17702950819672136,-0.27260118455405885,-0.27522464755788834,1.991,
dblp,sect_coco_e2e_unified_aptc_dblp,ok,0.2920877495686468,0.006564734109784218,0.0012971035339832376,0.25875269313790805,0.9369,0.7971,0.8483,-0.6448122504313532,-0.7905352658902158,-0.8470028964660168,4.792,
