norm,self_loop,sw,steps,gamma,size_norm,acc,nmi,ari,f1
sym,True,0.5,1,2.0,False,0.6158004158004158,0.6003266848712404,0.44985220253602454,0.5388394432218728
sym,True,0.5,1,2.0,True,0.6116424116424116,0.596237200486847,0.44368960964577586,0.5367076197402736
sym,True,0.5,2,0.2,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,2,0.2,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,2,0.5,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,2,0.5,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,2,0.8,False,0.6128898128898129,0.5993307997343348,0.4461914632813103,0.5382802818456549
sym,True,0.5,2,0.8,True,0.6120582120582121,0.598398303864377,0.44472548281809793,0.5381058819060552
sym,True,0.5,2,1.0,False,0.6145530145530146,0.600696351962978,0.4482104680549806,0.5392935984392083
sym,True,0.5,2,1.0,True,0.6124740124740125,0.5985859303155523,0.44536920404416624,0.5379339525372979
sym,True,0.5,2,1.2,False,0.6158004158004158,0.60002834151618,0.44952638105105464,0.5396659590913755
sym,True,0.5,2,1.2,True,0.6128898128898129,0.5985665270355084,0.44584667321694493,0.537642738228478
sym,True,0.5,2,1.5,False,0.6174636174636174,0.6020626569827064,0.4514224502098206,0.5393468998076266
sym,True,0.5,2,1.5,True,0.614968814968815,0.5991381978862871,0.448540997932288,0.5379403202427105
sym,True,0.5,2,2.0,False,0.6187110187110187,0.5980439060736336,0.4514811067397883,0.5385475272139154
sym,True,0.5,2,2.0,True,0.6162162162162163,0.5971854777609592,0.4482297166783378,0.5388566721624652
sym,True,0.5,3,0.2,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,3,0.2,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,3,0.5,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,3,0.5,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,3,0.8,False,0.6145530145530146,0.600696351962978,0.4482104680549806,0.5392935984392083
sym,True,0.5,3,0.8,True,0.6124740124740125,0.5985859303155523,0.44536920404416624,0.5379339525372979
sym,True,0.5,3,1.0,False,0.6170478170478171,0.6013800115158093,0.4513661203065477,0.5396652117971695
sym,True,0.5,3,1.0,True,0.6141372141372141,0.5990053843560105,0.4475747447271293,0.5381830717038063
sym,True,0.5,3,1.2,False,0.6178794178794179,0.6003627020222018,0.4516984123074209,0.538960292024828
sym,True,0.5,3,1.2,True,0.614968814968815,0.5973127634090062,0.4477511346375819,0.5375030572544117
sym,True,0.5,3,1.5,False,0.6212058212058212,0.598568117569074,0.4518567947051129,0.5408588679576932
sym,True,0.5,3,1.5,True,0.6166320166320166,0.5941097339373632,0.4456115382685639,0.5385106786829817
sym,True,0.5,3,2.0,False,0.6133056133056133,0.5842270426586904,0.4388643050478429,0.5025666257391492
sym,True,0.5,3,2.0,True,0.6103950103950104,0.5820309082326117,0.43637785901823983,0.5016712867548363
sym,True,0.5,4,0.2,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,4,0.2,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,4,0.5,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,4,0.5,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,4,0.8,False,0.614968814968815,0.6006164965317526,0.4487379234096963,0.5392379903620144
sym,True,0.5,4,0.8,True,0.6133056133056133,0.5994531436298234,0.4466637119463734,0.5382073356439576
sym,True,0.5,4,1.0,False,0.6166320166320166,0.5993138926478964,0.450241983844526,0.5383890308791657
sym,True,0.5,4,1.0,True,0.6141372141372141,0.5981797868019717,0.44724743555928986,0.5375689674773617
sym,True,0.5,4,1.2,False,0.6187110187110187,0.5968374187978309,0.4501778075267312,0.5382891985303334
sym,True,0.5,4,1.2,True,0.6174636174636174,0.595951360141323,0.448318426074983,0.5388868215954138
sym,True,0.5,4,1.5,False,0.6158004158004158,0.5860454057720905,0.4427576198111987,0.5045551623074866
sym,True,0.5,4,1.5,True,0.6116424116424116,0.583253752777302,0.4380365409684874,0.5021451166481624
sym,True,0.5,4,2.0,False,0.6029106029106029,0.5590969827558879,0.41979180314658104,0.5230214120881534
sym,True,0.5,4,2.0,True,0.6004158004158004,0.5550957648807515,0.41760674641795514,0.5188684522596337
sym,True,0.5,5,0.2,False,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
sym,True,0.5,5,0.2,True,0.6103950103950104,0.5973189102493236,0.44335780711964223,0.5368403170250476
